from_node,to_node,distance_km,U_food,U_water,origin_tier,origin_sea_rating,dest_sea_rating,vessel_type,n_assets
39,1,3788.3,0,0.0,None,3,3,none,0
39,2,3416.7,0,0.0,None,3,3,none,0
39,3,4339.6,0,0.0,None,3,3,none,0
39,4,2955.3,0,0.0,None,3,3,none,0
39,5,3555.0,0,0.0,None,3,3,none,0
39,11,4020.4,0,0.0,None,3,3,none,0
39,24,3018.7,0,0.0,None,3,3,none,0
39,27,1381.4,0,0.0,None,3,3,none,0
39,29,2466.8,0,0.0,None,3,3,none,0
39,38,1695.8,0,0.0,None,3,3,none,0
39,45,1709.8,0,0.0,None,3,3,none,0
39,46,2967.6,0,0.0,None,3,3,none,0
39,47,3945.6,0,0.0,None,3,3,none,0
42,18,4173.7,16668000,600300.0,PPL-1,3,3,TAKR,2
42,20,3662.6,16668000,600300.0,PPL-1,3,3,TAKR,2
45,1,2082.0,0,0.0,None,3,3,none,0
45,2,1717.3,0,0.0,None,3,3,none,0
45,3,2694.8,0,0.0,None,3,3,none,0
45,4,1278.1,0,0.0,None,3,3,none,0
45,5,1854.0,0,0.0,None,3,3,none,0
45,11,4268.7,0,0.0,None,3,3,none,0
45,24,2391.8,0,0.0,None,3,3,none,0
45,27,1157.8,0,0.0,None,3,3,none,0
45,29,3806.4,0,0.0,None,3,3,none,0
45,38,3240.8,0,0.0,None,3,3,none,0
45,39,1709.8,0,0.0,None,3,3,none,0
45,46,1336.5,0,0.0,None,3,3,none,0
45,47,2752.0,0,0.0,None,3,3,none,0
46,1,960.5,16668000,600300.0,PPL-1,3,3,TAKR,2
46,2,589.5,16668000,600300.0,PPL-1,3,3,TAKR,2
46,3,1373.4,16668000,600300.0,PPL-1,3,3,TAKR,2
46,4,214.4,16668000,600300.0,PPL-1,3,3,TAKR,2
46,5,713.1,16668000,600300.0,PPL-1,3,3,TAKR,2
46,24,3131.8,16668000,600300.0,PPL-1,3,3,TAKR,2
46,27,2420.7,16668000,600300.0,PPL-1,3,3,TAKR,2
46,39,2967.6,16668000,600300.0,PPL-1,3,3,TAKR,2
46,45,1336.5,16668000,600300.0,PPL-1,3,3,TAKR,2
46,47,2879.2,16668000,600300.0,PPL-1,3,3,TAKR,2
47,1,2491.3,16668000,600300.0,PPL-1,3,3,TAKR,2
47,2,2533.0,16668000,600300.0,PPL-1,3,3,TAKR,2
47,3,3299.3,16668000,600300.0,PPL-1,3,3,TAKR,2
47,4,2665.0,16668000,600300.0,PPL-1,3,3,TAKR,2
47,5,2535.0,16668000,600300.0,PPL-1,3,3,TAKR,2
47,11,3252.6,16668000,600300.0,PPL-1,3,3,TAKR,2
47,20,2991.5,16668000,600300.0,PPL-1,3,3,TAKR,2
47,23,2890.4,16668000,600300.0,PPL-1,3,3,TAKR,2
47,24,1315.2,16668000,600300.0,PPL-1,3,3,TAKR,2
47,27,2574.5,16668000,600300.0,PPL-1,3,3,TAKR,2
47,39,3945.6,16668000,600300.0,PPL-1,3,3,TAKR,2
47,45,2752.0,16668000,600300.0,PPL-1,3,3,TAKR,2
47,46,2879.2,16668000,600300.0,PPL-1,3,3,TAKR,2
