from_node,to_node,distance_km,U_food,U_water,origin_tier,origin_air_rating,dest_air_rating,aircraft_type,n_assets,n_sorties_per_window
7,18,5022.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,19,4240.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,20,5679.0,570416,20543.600000000002,PPL-2,3,2,C17,2,2
7,21,5206.2,570416,20543.600000000002,PPL-2,3,2,C17,2,2
7,22,5137.8,570416,20543.600000000002,PPL-2,3,2,C17,2,2
7,23,4700.2,570416,20543.600000000002,PPL-2,3,2,C17,2,2
7,24,5116.0,570416,20543.600000000002,PPL-2,3,2,C17,2,2
7,25,3924.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,26,5378.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,28,5762.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,29,5202.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,30,4397.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,31,5657.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,32,5698.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,33,5625.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,40,4448.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
7,47,5673.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,6,730.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,7,1372.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,9,3612.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,10,1601.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,11,2845.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,12,2507.8,570416,20543.600000000002,PPL-2,3,2,C17,2,2
8,13,2291.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,14,1473.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,15,2087.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,16,2128.3,570416,20543.600000000002,PPL-2,3,2,C17,2,2
8,17,2799.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,18,3949.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,19,3290.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,20,4306.6,570416,20543.600000000002,PPL-2,3,2,C17,2,2
8,21,3838.9,570416,20543.600000000002,PPL-2,3,2,C17,2,2
8,22,3844.6,570416,20543.600000000002,PPL-2,3,2,C17,2,2
8,23,3328.5,570416,20543.600000000002,PPL-2,3,2,C17,2,2
8,24,4338.9,570416,20543.600000000002,PPL-2,3,2,C17,2,2
8,25,3051.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,26,4849.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,27,5798.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,28,5230.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,29,5411.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,30,4483.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,31,5438.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,32,5430.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,33,5581.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,40,4330.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
8,47,4613.0,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,6,3297.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,7,2726.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,8,3612.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,10,2135.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,11,2647.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,12,5269.1,570416,20543.600000000002,PPL-2,3,2,C17,2,2
9,13,5358.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,14,5084.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,15,4077.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,16,5183.6,570416,20543.600000000002,PPL-2,3,2,C17,2,2
9,24,4777.2,570416,20543.600000000002,PPL-2,3,2,C17,2,2
9,25,4160.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,26,4449.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,27,5178.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,28,4754.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,29,3000.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,30,2578.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,31,4079.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,32,4197.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,33,3752.9,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,34,4834.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,35,5959.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,36,5702.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,37,4953.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,38,3898.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,39,5374.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,40,2990.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,41,4334.1,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,43,5316.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,44,5795.3,570416,20543.600000000002,PPL-2,3,3,C17,2,2
9,47,5895.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,6,1164.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,7,654.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,8,1601.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,9,2135.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,11,2608.5,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,12,3225.7,570416,20543.600000000002,PPL-2,3,2,C17,2,2
10,13,3252.6,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,14,3049.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,15,2954.4,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,16,3568.2,570416,20543.600000000002,PPL-2,3,2,C17,2,2
10,17,4346.7,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,18,5482.2,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,19,4745.8,570416,20543.600000000002,PPL-2,3,3,C17,2,2
10,20,5787.8,570416,20543.600000000002,PPL-2,3,2,C17,2,2
10,21,5380.7,570416,20543.600000000002,PPL-2,3,2,C17,2,2
10,22,5067.0,570416,20543.600000000002,PPL-2,3,2,C17,2,2
10,23,4809.6,570416,20543.600000000002,PPL-2,3,2,C17,2,2
10,24,4698.6,570416,20543.600000000002,PPL-2,3,2,C17,2,2
