scenario_id,objective,shortfall_cost,deficit_cost,aps_locations,num_q_positive,total_flow,status,computational_time,epicenter,severity,num_APS,base_L,redun,def_weight,short_weight
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,8.960434914,3,1.400941471,5,3,3,1,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,9.03122592,3,1.400941471,5,3,3,100,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,8.982051849,3,1.400941471,5,3,3,1000,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,8.969306707,3,1.400941471,5,3,4,1,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,8.977830887,3,1.400941471,5,3,4,100,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,8.958031178,3,1.400941471,5,3,4,1000,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,8.97599268,3,1.400941471,5,4,3,1,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,8.983222961,3,1.400941471,5,4,3,100,1
3,0,0,0,"[1, 15, 24, 36, 41]",4,25635998,2,9.012711763,3,1.400941471,5,4,3,1000,1
3,0,0,0,"[1, 15, 22, 24, 36, 41]",4,25635998,2,8.623026848,3,1.400941471,6,3,3,1,1
3,0,0,0,"[1, 15, 22, 24, 36, 41]",4,25635998,2,8.695739031,3,1.400941471,6,3,3,100,1
3,0,0,0,"[1, 15, 22, 24, 36, 41]",4,25635998,2,8.648117065,3,1.400941471,6,3,3,1000,1
4,69242004,0,69242004,"[14, 24, 41]",6,38072500,2,7.77177906,33,2.321364398,3,3,3,1,1
4,4251200400,27000000,4224200400,"[14, 24, 41]",6,73121559,2,8.018704891,33,2.321364398,3,3,3,100,1
4,42269004000,27000000,42242004000,"[14, 24, 41]",6,151437500,2,8.511477947,33,2.321364398,3,3,3,1000,1
4,0,0,0,"[1, 15, 21, 26]",4,140952063,2,12.01053905,33,2.321364398,4,3,3,1,1
4,0,0,0,"[1, 15, 21, 26]",4,86202004,2,13.27816391,33,2.321364398,4,3,3,100,1
4,0,0,0,"[1, 15, 21, 26]",4,139656754,2,11.19629693,33,2.321364398,4,3,3,1000,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.72894001,33,2.321364398,5,1,3,1,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.782813072,33,2.321364398,5,1,3,100,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.76195097,33,2.321364398,5,1,3,1000,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.843340158,33,2.321364398,5,2,3,1,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.845157146,33,2.321364398,5,2,3,100,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,9.106983185,33,2.321364398,5,2,3,1000,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.72217989,33,2.321364398,5,3,1,1,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.740267038,33,2.321364398,5,3,1,100,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.82762599,33,2.321364398,5,3,1,1000,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.816435814,33,2.321364398,5,3,2,1,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.843720198,33,2.321364398,5,3,2,100,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.869157314,33,2.321364398,5,3,2,1000,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.812367678,33,2.321364398,5,3,3,1,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.836748838,33,2.321364398,5,3,3,100,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.856790066,33,2.321364398,5,3,3,1000,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.775229931,33,2.321364398,5,3,4,1,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.81118989,33,2.321364398,5,3,4,100,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.82332015,33,2.321364398,5,3,4,1000,1
4,0,0,0,"[1, 2, 15, 21, 24]",6,91975004,2,8.871860027,33,2.321364398,5,4,3,1,1
